hansard_number, hansard_name, hansard_date
/hansard/29246,NA: Unrevised hansard,30 Oct 2019
/hansard/29245,NA: Unrevised hansard,24 Oct 2019
/hansard/29234,NA: Unrevised hansard,23 Oct 2019
/hansard/29235,NA: Unrevised hansard,22 Oct 2019
/hansard/29160,NA: Unrevised hansard,17 Oct 2019
/hansard/28944,NA: Unrevised hansard,19 Sep 2019
/hansard/28943,NA: Unrevised hansard,18 Sep 2019
/hansard/28938,NA: Unrevised hansard,17 Sep 2019
/hansard/28931,NA: Unrevised hansard,11 Sep 2019
/hansard/28930,NA: Unrevised hansard,10 Sep 2019
/hansard/28883,NA: Unrevised hansard,05 Sep 2019
/hansard/28885,NA: Unrevised hansard,04 Sep 2019
/hansard/28886,NA: Unrevised hansard,03 Sep 2019
/hansard/28828,NA: Unrevised hansard,22 Aug 2019
/hansard/28757,NA: Unrevised hansard,25 Jul 2019
/hansard/28687,NA: Unrevised hansard,23 Jul 2019
/hansard/29233,NA: Unrevised hansard,22 Jul 2019
/hansard/28887,NA: Unrevised Hansard (EPC),18 Jul 2019
/hansard/28679,NA: Unrevised hansard,18 Jul 2019
/hansard/28678,NA: Unrevised hansard,18 Jul 2019
/hansard/28888,NA: Unrevised Hansard (EPC),18 Jul 2019
/hansard/28891,NA: Unrevised Hansard (EPC),17 Jul 2019
/hansard/28890,NA: Unrevised Hansard (EPC),17 Jul 2019
/hansard/28889,NA: Unrevised Hansard (EPC),17 Jul 2019
/hansard/28908,NA: Unrevised Hansard (EPC),16 Jul 2019
/hansard/28677,NA: Unrevised hansard,16 Jul 2019
/hansard/28676,NA: Unrevised hansard,16 Jul 2019
/hansard/28893,NA: Unrevised Hansard (EPC),16 Jul 2019
/hansard/28892,NA: Unrevised Hansard (EPC),16 Jul 2019
/hansard/28905,NA: Unrevised Hansard (EPC),12 Jul 2019
/hansard/28897,NA: Unrevised Hansard (EPC),12 Jul 2019
/hansard/28895,NA: Unrevised Hansard (EPC),12 Jul 2019
/hansard/28675,NA: Unrevised hansard,11 Jul 2019
/hansard/28674,NA: Unrevised hansard,11 Jul 2019
/hansard/28670,NA: Unrevised hansard,10 Jul 2019
/hansard/28669,NA: Unrevised hansard,10 Jul 2019
/hansard/28668,NA: Unrevised hansard,10 Jul 2019
/hansard/28654,NA: Unrevised hansard,10 Jul 2019
/hansard/28653,NA: Unrevised hansard,10 Jul 2019
/hansard/28667,NA: Unrevised hansard,10 Jul 2019
/hansard/28651,NA: Unrevised hansard,10 Jul 2019
/hansard/28673,NA: Unrevised hansard,10 Jul 2019
/hansard/28643,NA: Unrevised hansard,09 Jul 2019
/hansard/28640,NA: Unrevised hansard,09 Jul 2019
/hansard/28639,NA: Unrevised hansard,09 Jul 2019
/hansard/28537,NA: Unrevised hansard,27 Jun 2019
/hansard/28514,By resolution of the National Assembly, the Bill was revived on this date ,27 Jun 2019
/hansard/28535,NA: Unrevised hansard,22 May 2019
/hansard/28278,Bill lapsed in terms of National Assembly Rule 333 (2),07 May 2019
/hansard/28233,NA: Unrevised hansard,20 Mar 2019
